Edad,estrato,price_plan,mes,dia,venta,plan_MB,genero_label,tipo_plan_label,nombre_zone_N,nombre_zone_O,nombre_zone_S,grupo_edad_30-39,grupo_edad_40-49,grupo_edad_50-59,grupo_edad_60-69,motivo_rechazo_solicitud_Doble Solicitud,motivo_rechazo_solicitud_Errores en la Solicitud,motivo_rechazo_solicitud_Falta de Interés,motivo_rechazo_solicitud_Financiero,motivo_rechazo_solicitud_No Aplica,motivo_rechazo_solicitud_Otro,motivo_rechazo_solicitud_Tiempos y Procesos
66,5,79049.0,1,10,1,300,0,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False
54,3,63749.0,4,29,1,100,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False
53,3,61965.0,12,18,1,250,0,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False
49,2,70549.0,5,20,0,200,0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False
40,2,56249.0,6,21,1,100,1,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False
40,3,63749.0,3,7,1,100,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
42,2,70549.0,5,24,1,200,1,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
38,3,68850.0,9,17,1,350,0,1,False,False,True,True,False,False,False,False,False,False,False,True,False,False
49,6,70549.0,2,21,0,200,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True
57,3,63749.0,3,15,0,100,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False
23,3,62250.0,2,6,0,200,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
66,3,79049.0,4,16,0,300,0,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False
21,1,63749.0,1,20,1,100,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
64,2,61965.0,9,4,1,250,0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False
46,1,61965.0,7,6,1,250,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False
45,5,69749.0,5,20,1,300,0,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False
37,2,61965.0,9,13,1,250,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False
41,3,79049.0,1,29,1,300,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False
57,3,64800.0,10,12,0,350,0,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False
64,3,63749.0,4,4,0,100,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False
64,1,61965.0,12,1,0,250,0,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False
18,2,68850.0,7,11,0,350,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True
50,1,61965.0,11,17,0,250,0,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False
62,2,68850.0,9,27,1,350,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
56,5,76415.0,9,16,1,250,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False
59,2,63749.0,2,2,1,100,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
44,1,61965.0,7,30,1,250,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False
31,2,70549.0,3,13,1,200,0,1,False,False,True,True,False,False,False,False,False,False,False,True,False,False
49,3,78500.0,7,4,1,350,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
28,2,70549.0,5,15,1,200,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False
61,6,79049.0,2,23,1,300,0,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False
47,2,63749.0,3,7,1,100,1,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False
48,3,59999.0,5,31,1,100,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
42,3,74399.0,2,1,1,300,0,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
22,1,79049.0,1,13,0,300,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
30,3,68850.0,11,28,1,350,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
28,2,61965.0,7,8,1,250,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
20,1,68850.0,11,20,1,350,1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
41,3,68900.0,1,6,1,250,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False
43,2,63749.0,3,16,0,100,0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False
23,1,61965.0,9,18,1,250,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
38,1,66400.0,3,18,0,200,1,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False
29,4,70549.0,5,22,1,200,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False
61,2,68850.0,11,18,1,350,0,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False
63,4,70549.0,2,8,1,200,1,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False
32,4,79049.0,1,19,0,300,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True
38,2,61965.0,7,4,1,250,1,1,False,False,True,True,False,False,False,False,False,False,False,True,False,False
59,2,62250.0,8,11,0,200,0,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False
35,3,68850.0,10,5,1,350,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
51,4,79049.0,6,15,1,300,1,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False
21,3,55120.0,8,15,0,250,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False
22,1,61965.0,8,16,1,250,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
35,4,76415.0,12,14,0,250,0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True
26,2,63749.0,1,29,1,100,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
42,1,63749.0,4,12,0,100,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
35,4,63749.0,4,5,1,100,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
55,2,61965.0,9,22,1,250,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
55,4,55120.0,8,30,0,250,0,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False
20,1,61965.0,9,4,1,250,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
50,1,61965.0,9,16,1,250,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
50,2,61965.0,10,2,1,250,0,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False
27,3,74399.0,3,20,0,300,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
40,1,61965.0,12,10,1,250,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False
29,4,70549.0,4,23,0,200,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False
35,5,79049.0,5,8,1,300,0,1,False,False,True,True,False,False,False,False,False,False,False,True,False,False
29,1,63749.0,1,23,1,100,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
48,4,79920.0,11,19,1,350,0,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False
21,2,79049.0,4,9,1,300,1,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
65,1,63749.0,2,20,1,100,0,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False
41,3,61965.0,11,25,1,250,1,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False
32,2,61965.0,7,9,1,250,1,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False
59,3,68850.0,12,23,1,350,0,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False
65,1,63749.0,2,14,1,100,1,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False
55,2,68850.0,9,30,1,350,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
30,6,79049.0,1,15,1,300,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False
30,1,63749.0,1,26,1,100,0,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False
42,2,68850.0,8,27,1,350,0,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False
52,2,68850.0,12,14,1,350,0,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False
33,4,69749.0,5,27,0,300,1,0,False,False,True,True,False,False,False,False,True,False,False,False,False,False
26,2,63749.0,4,7,1,100,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False
41,3,62250.0,11,30,0,200,0,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False
21,3,68850.0,10,28,1,350,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False
36,3,69749.0,3,23,0,300,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False
32,2,69749.0,12,30,1,300,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False
39,3,62800.0,1,21,1,350,0,0,False,False,True,True,False,False,False,False,False,False,False,True,False,False
42,3,79049.0,5,20,0,300,0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,True
25,2,74999.0,4,4,0,100,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False
46,2,62250.0,5,28,1,200,0,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False
