is_actived,Genero,Edad,city_owner,estrato,price_plan,nombre_zone,ventas_Retiradas_causales,Retiro,motivo_rechazo_solicitud,mes,dia,venta,grupo_edad,tipo_plan,plan_MB
Orden creada,H,53,Cali,2,74399.0,O,Voluntario,SI,No Aplica,8,7,1,50-59,Internet-voz,300
Orden creada,H,18,Cali,1,62250.0,O,No Aplica,NO,No Aplica,8,7,1,18-29,Internet,200
Orden creada,M,53,Cali,3,74399.0,C,No Aplica,NO,No Aplica,8,7,1,50-59,Internet-voz,300
Orden creada,H,41,Cali,3,62250.0,N,Voluntario,SI,No Aplica,8,7,1,40-49,Internet,200
Anulado,H,52,Cali,2,59999.0,O,No Aplica,NO,No Aplica,8,7,0,50-59,Internet-voz,100
Orden creada,M,30,Cali,1,74399.0,O,No Aplica,NO,No Aplica,8,7,1,30-39,Internet-voz,300
Orden creada,H,20,Cali,2,74399.0,O,No Aplica,NO,No Aplica,8,8,1,18-29,Internet-voz,300
Rechazado,H,43,Cali,5,66399.0,C,No Aplica,NO,Otro,8,8,0,40-49,Internet-voz,200
Orden creada,H,27,Cali,1,56249.0,O,Anulacion,SI,No Aplica,8,8,1,18-29,Internet,100
Rechazado,H,45,Cali,3,59999.0,O,No Aplica,NO,Otro,8,8,0,40-49,Internet-voz,100
Orden creada,M,30,Cali,4,69749.0,S,No Aplica,NO,No Aplica,8,8,1,30-39,Internet,300
Orden creada,H,47,Cali,1,59999.0,O,Anulacion,SI,No Aplica,8,9,1,40-49,Internet-voz,100
Rechazado,M,41,Cali,3,69749.0,C,No Aplica,NO,Otro,8,9,0,40-49,Internet,300
Orden creada,M,31,Cali,1,62250.0,O,No Aplica,NO,No Aplica,8,9,1,30-39,Internet,200
Orden creada,M,25,Cali,3,69999.0,O,No Aplica,NO,No Aplica,8,9,1,18-29,Internet-voz,80
Orden creada,H,50,Cali,2,62250.0,O,Cartera,SI,No Aplica,8,9,1,50-59,Internet,200
Rechazado,H,54,Cali,2,66399.0,O,No Aplica,NO,Otro,8,9,0,50-59,Internet-voz,200
Orden creada,H,60,Jamundi,3,59999.0,O,Voluntario,SI,No Aplica,8,9,1,60-69,Internet-voz,100
Orden creada,H,45,Cali,4,62250.0,O,Anulacion,SI,No Aplica,8,9,1,40-49,Internet,200
Orden creada,H,65,Cali,3,69749.0,O,No Aplica,NO,No Aplica,8,10,1,60-69,Internet,300
Orden creada,H,44,Cali,4,69749.0,N,Anulacion,SI,No Aplica,8,10,1,40-49,Internet,300
Orden creada,H,49,Cali,2,66399.0,O,Voluntario,SI,No Aplica,8,10,1,40-49,Internet-voz,200
Orden creada,H,28,Cali,3,59999.0,O,Cartera,SI,No Aplica,8,10,1,18-29,Internet-voz,100
Anulado,H,50,Cali,3,56249.0,O,No Aplica,NO,No Aplica,8,10,0,50-59,Internet,100
Orden creada,M,18,Cali,1,56249.0,O,Voluntario,SI,No Aplica,8,10,1,18-29,Internet,100
Rechazado,H,35,Cali,1,62250.0,O,No Aplica,NO,Otro,8,10,0,30-39,Internet,200
Orden creada,H,28,Cali,1,56249.0,O,No Aplica,NO,No Aplica,8,10,1,18-29,Internet,100
Orden creada,M,45,Cali,3,59999.0,O,No Aplica,NO,No Aplica,8,10,1,40-49,Internet-voz,100
