is_actived,Genero,Edad,city_owner,estrato,plan,id_plan,price_plan,user_creation_id,cdo,plan_type,ventas_Retiradas_causales,Retiro,id_comuna,Comuna,duracion_contrato,dia_semana_num,mes
Orden creada,M,48,Cali,5,INTERNET 250MB 24,1279,67920.0,15832,0017S1719,Internet,Cartera,SI,23,El Hormiguero,210,1,7
Orden creada,H,24,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15999,0013S2005,Dupla,No Aplica,NO,16,Comuna 16,244,1,7
Orden creada,M,62,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15922,0012S2966,Dupla,No Aplica,NO,20,Comuna 20,244,1,7
Orden creada,H,21,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16000,0013S10566,Dupla,No Aplica,NO,13,Comuna 13,244,1,7
Rechazado,M,29,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16002,0019S2607,Dupla,No Aplica,NO,5,Comuna 05,244,1,7
Orden creada,H,28,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15927,0005S5910,Dupla,No Aplica,NO,7,Comuna 07,244,1,7
Orden creada,M,45,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16003,0001S3419,Dupla,No Aplica,NO,11,Comuna 11,244,1,7
Orden creada,H,46,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16004,0017S2318,Dupla,No Aplica,NO,38,Área de Expansión Urbana,244,1,7
Orden creada,H,27,Cali,6,DPL BA 250MB+VOZ ILIM-24,1280,76415.0,16005,0029S4875,Dupla,No Aplica,NO,2,Comuna 02,244,1,7
Orden creada,H,23,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15653,0019S2119,Dupla,No Aplica,NO,6,Comuna 06,244,1,7
Orden creada,M,49,Cali,5,DPL BA 500MB+VOZ ILIM-24,1282,131750.0,16006,0017S6640,Dupla,No Aplica,NO,17,Comuna 17,244,1,7
Anulado,H,19,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15550,0012S0509,Dupla,No Aplica,NO,27,La Buitrera,244,1,7
Orden creada,H,43,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16007,0029S5588,Dupla,No Aplica,NO,24,El Saladito,244,1,7
Orden creada,M,44,Cali,4,DPL BA 250MB+VOZ ILIM-24,1280,76415.0,16009,0001S2417,Dupla,No Aplica,NO,10,Comuna 10,244,1,7
Orden creada,M,29,Cali,5,INTERNET 350MB 24,1278,82365.0,16010,0019S1550,Internet,No Aplica,NO,2,Comuna 02,244,1,7
Orden creada,H,52,Cali,2,INTERNET 250MB 24,1279,55120.0,16008,0013S3840,Internet,No Aplica,NO,13,Comuna 13,244,1,7
Orden creada,H,38,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16011,0005S0787,Dupla,No Aplica,NO,7,Comuna 07,244,1,7
Orden creada,M,66,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15681,0013S1106,Dupla,No Aplica,NO,16,Comuna 16,244,1,7
Orden creada,M,62,Cali,2,INTERNET 250MB 24,1279,55120.0,16012,0013S2375,Internet,No Aplica,NO,16,Comuna 16,244,1,7
Orden creada,M,41,Cali,4,INTERNET 350MB 24,1278,77520.0,15934,0017S6455,Internet,No Aplica,NO,17,Comuna 17,244,1,7
Orden creada,H,48,Cali,4,DPL BA 250MB+VOZ ILIM-24,1280,76415.0,16015,0016S0227,Dupla,No Aplica,NO,0,NR,244,1,7
Anulado,H,42,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16017,0013S8484,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,H,38,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16018,0001S1739,Dupla,No Aplica,NO,11,Comuna 11,244,1,7
Orden creada,H,58,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16019,0001S1822,Dupla,No Aplica,NO,11,Comuna 11,244,1,7
Orden creada,H,18,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16020,0013S9936,Dupla,No Aplica,NO,13,Comuna 13,244,1,7
Orden creada,H,32,Cali,3,INTERNET 500MB 24,1277,96800.0,9551,0012S3290,Internet,Cartera,SI,20,Comuna 20,210,1,7
Orden creada,M,39,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16021,0001S2366,Dupla,No Aplica,NO,10,Comuna 10,244,1,7
Orden creada,M,34,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,9076,0013S7631,Dupla,No Aplica,NO,14,Comuna 14,244,1,7
Orden creada,M,52,Cali,2,INTERNET 350MB 24,1278,62800.0,16014,SALO_007104_B,Internet,No Aplica,NO,0,NR,243,1,7
Anulado,H,40,Cali,2,INTERNET 350MB 24,1278,62800.0,16023,0013S1715,Internet,No Aplica,NO,16,Comuna 16,243,1,7
Orden creada,H,21,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16024,0019S4509,Dupla,No Aplica,NO,5,Comuna 05,243,1,7
Orden creada,H,21,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16025,0013S10029,Dupla,No Aplica,NO,21,Comuna 21,243,1,7
Orden creada,M,25,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16026,0013S1274,Dupla,No Aplica,NO,16,Comuna 16,243,1,7
Anulado,H,49,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,64800.0,16022,0001S1401,Dupla,No Aplica,NO,10,Comuna 10,243,1,7
Orden creada,H,63,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16027,0013S8288,Dupla,No Aplica,NO,14,Comuna 14,243,1,7
Orden creada,M,25,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,14723,0019S2858,Dupla,No Aplica,NO,5,Comuna 05,243,1,7
Anulado,H,43,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16029,0005S3160,Dupla,No Aplica,NO,12,Comuna 12,243,1,7
Orden creada,M,50,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16031,0013S10184,Dupla,No Aplica,NO,21,Comuna 21,243,1,7
Orden creada,M,45,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16032,0013S1619,Dupla,No Aplica,NO,16,Comuna 16,243,1,7
Orden creada,H,38,Cali,4,INTERNET 250MB 24,1279,67920.0,16030,0017S5944,Internet,Anulacion,SI,17,Comuna 17,78,1,7
Orden creada,H,46,Cali,1,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,15929,0013S7804,Dupla,No Aplica,NO,14,Comuna 14,243,1,7
Orden creada,M,42,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16034,0013S4555,Dupla,No Aplica,NO,13,Comuna 13,243,1,7
Orden creada,H,39,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16036,0013S4008,Dupla,No Aplica,NO,13,Comuna 13,243,1,7
Orden creada,H,36,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16038,0005S3216,Dupla,No Aplica,NO,12,Comuna 12,243,1,7
Anulado,M,19,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16040,0013S8188,Dupla,No Aplica,NO,14,Comuna 14,243,1,7
Orden creada,H,45,Cali,5,DPL BA 250MB+VOZ ILIM-24,1280,71920.0,16039,0017S3130,Dupla,No Aplica,NO,17,Comuna 17,243,1,7
Orden creada,M,60,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16041,0001S3597,Dupla,No Aplica,NO,12,Comuna 12,243,1,7
Orden creada,H,44,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16043,0019S2948,Dupla,No Aplica,NO,5,Comuna 05,243,1,7
Orden creada,H,47,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,64800.0,16045,0005S0720,Dupla,No Aplica,NO,7,Comuna 07,243,1,7
Rechazado,M,43,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15688,0001S0843,Dupla,No Aplica,NO,9,Comuna 09,243,1,7
Orden creada,M,42,Cali,2,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,15688,0001S0843,Dupla,No Aplica,NO,9,Comuna 09,243,1,7
Orden creada,H,22,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15979,0013S4798,Dupla,No Aplica,NO,15,Comuna 15,243,2,7
Orden creada,H,30,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,58320.0,16047,0013S1691,Dupla,No Aplica,NO,16,Comuna 16,243,2,7
Orden creada,H,26,Jamundi,3,INTERNET 350MB 24,1278,62800.0,16051,0004S0426,Internet,No Aplica,NO,44,Comuna NR,243,2,7
Orden creada,H,37,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16052,0001S0679,Dupla,No Aplica,NO,9,Comuna 09,243,2,7
Orden creada,H,58,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16054,0013S10436,Dupla,No Aplica,NO,21,Comuna 21,243,2,7
Anulado,H,34,Cali,1,DPL BA 350MB+VOZ ILIM-24,1281,64800.0,16053,0013S10455,Dupla,No Aplica,NO,21,Comuna 21,243,2,7
Orden creada,M,65,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,11546,0005S4267,Dupla,No Aplica,NO,5,Comuna 05,243,2,7
Orden creada,H,66,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16056,0019S3072,Dupla,No Aplica,NO,5,Comuna 05,243,2,7
Anulado,H,27,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16057,0013S3503,Dupla,No Aplica,NO,13,Comuna 13,243,2,7
Orden creada,M,34,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16059,0013S7898,Dupla,No Aplica,NO,14,Comuna 14,243,2,7
Orden creada,M,43,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,15123,0017S5021,Dupla,Voluntario,SI,18,Comuna 18,199,2,7
Orden creada,M,50,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16061,0029S1778,Dupla,No Aplica,NO,3,Comuna 03,243,2,7
Orden creada,M,66,Jamundi,4,DPL BA 350MB+VOZ ILIM-24,1281,84915.0,15936,0017S1739,Dupla,No Aplica,NO,38,Área de Expansión Urbana,243,2,7
Orden creada,M,45,Cali,2,DPL BA 500MB+VOZ ILIM-24,1282,107100.0,16063,0013S2075,Dupla,Cartera,SI,15,Comuna 15,209,2,7
Orden creada,H,46,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,58320.0,16060,0012S0489,Dupla,No Aplica,NO,27,La Buitrera,243,2,7
Orden creada,H,39,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16064,0013S8623,Dupla,No Aplica,NO,14,Comuna 14,243,2,7
Orden creada,M,57,Cali,4,DPL BA 350MB+VOZ ILIM-24,1281,84915.0,16068,0001S2495,Dupla,No Aplica,NO,10,Comuna 10,243,2,7
Orden creada,H,31,Cali,2,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,3966,0017S5021,Dupla,No Aplica,NO,18,Comuna 18,243,2,7
Orden creada,H,56,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16070,0013S8635,Dupla,No Aplica,NO,14,Comuna 14,243,2,7
Por Firmar,H,34,Cali,4,INTERNET 350MB 24,1278,77520.0,15966,0017S0602,Internet,No Aplica,NO,16,Comuna 16,243,2,7
Orden creada,M,26,Cali,6,INTERNET 350MB 24,1278,82365.0,16071,0029S5688,Internet,No Aplica,NO,2,Comuna 02,243,2,7
Orden creada,M,66,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16069,0013S10707,Dupla,No Aplica,NO,21,Comuna 21,243,2,7
Orden creada,H,36,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16072,0029S2746,Dupla,No Aplica,NO,9,Comuna 09,243,2,7
Orden creada,H,43,Cali,4,DPL BA 250MB+VOZ ILIM-24,1280,76415.0,16074,0012S4666,Dupla,No Aplica,NO,19,Comuna 19,243,2,7
Orden creada,H,18,Cali,4,DPL BA 250MB+VOZ ILIM-24,1280,76415.0,16075,0017S9121,Dupla,No Aplica,NO,17,Comuna 17,243,2,7
Orden creada,H,53,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16076,0001S1669,Dupla,No Aplica,NO,10,Comuna 10,243,2,7
Orden creada,H,56,Cali,4,INTERNET 250MB 24,1279,67920.0,16049,0001S2546,Internet,No Aplica,NO,10,Comuna 10,243,2,7
Orden creada,M,39,Cali,1,DPL BA 500MB+VOZ ILIM-24,1282,107100.0,16078,0012S2727,Dupla,No Aplica,NO,20,Comuna 20,243,2,7
Orden creada,H,45,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16079,0013S8376,Dupla,No Aplica,NO,14,Comuna 14,243,2,7
Orden creada,M,63,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,58320.0,15948,0017S7724,Dupla,No Aplica,NO,18,Comuna 18,243,2,7
Orden creada,H,31,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16082,0029S1738,Dupla,No Aplica,NO,3,Comuna 03,243,2,7
Orden creada,M,40,Cali,5,INTERNET 350MB 24,1278,77520.0,16080,0019S4341,Internet,No Aplica,NO,2,Comuna 02,243,2,7
Orden creada,H,39,Cali,1,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16084,0013S10260,Dupla,No Aplica,NO,21,Comuna 21,243,2,7
Orden creada,H,61,Cali,3,DPL BA 350MB+VOZ ILIM-24,1281,68850.0,16085,0029S1736,Dupla,No Aplica,NO,3,Comuna 03,243,2,7
Orden creada,H,31,Cali,1,INTERNET 250MB 24,1279,55120.0,16087,0013S4788,Internet,No Aplica,NO,15,Comuna 15,243,2,7
Orden creada,H,34,Cali,3,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16089,0013S1457,Dupla,No Aplica,NO,15,Comuna 15,243,2,7
Anulado,H,43,Cali,3,INTERNET 350MB 24,1278,62800.0,2303,0029S2808,Internet,No Aplica,NO,9,Comuna 09,243,2,7
Orden creada,H,39,Cali,1,DPL BA 250MB+VOZ ILIM-24,1280,61965.0,16090,0013S10716,Dupla,No Aplica,NO,21,Comuna 21,243,2,7
